id_suffix	course	dialogue_id	speaker	dialogue_order	target_text	ko_text	romanization	note	tags	context	extra
l2_d16_t01	2	대화16	A	1	Lama nggak ketemu!	오랜만이야!	라마 응각 끄뜨무!	nggak = tidak 구어	'{new}'	인니 구어	자카르타 카페
l2_d16_t02	2	대화16	B	2	Iya, kamu apa kabar?	응, 잘 지내?	이야, 까무 아빠 까바르?		'{new}'		카페
l2_d16_t03	2	대화16	A	3	Baik. Kerja gimana?	좋아. 일은?	바익. 끄르자 기마나?		'{new}'		카페
l2_d16_t04	2	대화16	B	4	Sibuk banget. Macet pula.	엄청 바빠. 길도 막혀.	시북 방엣. 마쩻 뿔라.	macet = 막히다	'{new}'	자카르타 교통체증	카페
l2_d16_t05	2	대화16	A	5	Jakarta begitu.	자카르타가 그렇지.	자카르타 브기뚜.		'{new}'		카페
l2_d16_t06	2	대화16	B	6	Pengen pindah, sih.	이사 가고 싶어.	쁭엔 삔다, 시.	pengen = 원하다 (구어)	'{new}'		카페
l2_d16_t07	2	대화16	A	7	Ke mana?	어디로?	끄 마나?		'{new}'		카페
l2_d16_t08	2	대화16	B	8	Bali, kerja remote.	발리, 재택근무.	발리, 끄르자 리못.		'{new}'	발리 디지털 노매드	카페
l2_d16_t09	2	대화16	A	9	Asyik banget itu.	대박이네.	아식 방엣 이뚜.	asyik = 멋진/즐거운	'{new}'		카페
l2_d16_t10	2	대화16	B	10	Doain ya.	응원해줘.	도아인 야.	doain = 기도해주다	'{new}'	인니 종교적 표현	카페
l2_d17_t01	2	대화17	A	1	Halo Ibu, apa kabar?	엄마, 잘 지내?	할로 이부, 아빠 까바르?	Ibu = 어머니/부인 (격식)	'{new,family}'		전화
l2_d17_t02	2	대화17	B	2	Alhamdulillah. Kamu udah makan?	알함둘릴라. 밥 먹었어?	알함둘릴라. 까무 우다 마깐?	Alhamdulillah = 신께 감사 (이슬람 일상어)	'{new,family}'	인니 무슬림 일상어	전화
l2_d17_t03	2	대화17	A	3	Udah Bu. Bapak gimana?	네. 아빠는?	우다 부. 바빡 기마나?	Bapak = 아버지/씨	'{new,family}'		전화
l2_d17_t04	2	대화17	B	4	Sehat. Mudik Lebaran kapan?	건강해. 라마단 귀향 언제?	셰핫. 무딕 르바란 까빤?	Lebaran = 라마단 끝 명절, mudik = 귀향	'{new,family}'	인니 최대 명절	전화
l2_d17_t05	2	대화17	A	5	Seminggu sebelum.	1주일 전.	스밍구 스블룸.		'{new,family}'		전화
l2_d17_t06	2	대화17	B	6	Ibu masakin opor.	오뽀르 해놓을게.	이부 마사낀 오뽀르.	opor = 코코넛 닭요리 (Lebaran)	'{new,family}'	르바란 전통 음식	전화
l2_d17_t07	2	대화17	A	7	Sama ketupat ya?	크뚜팟이랑?	사마 끄뚜빳 야?	ketupat = 코코넛잎 떡 (Lebaran)	'{new,family}'		전화
l2_d17_t08	2	대화17	B	8	Pasti.	당연.	빠스띠.		'{new,family}'		전화
l2_d17_t09	2	대화17	A	9	Aku kangen masakan Ibu.	엄마 음식 그리워.	아꾸 깡엔 마사깐 이부.	kangen = 그립다	'{new,family}'		전화
l2_d17_t10	2	대화17	B	10	Jaga kesehatan.	건강 챙겨.	자가 끄셰하딴.		'{new,family}'		전화
l2_d18_t01	2	대화18	A	1	Mas, satu nasi goreng.	오빠, 나시고렝 1개.	마스, 사뚜 나시 고렝.	Mas = 오빠 (자바어), nasi goreng = 인니 볶음밥	'{new}'		와룽 (서민 식당)
