row_id	course	dialogue_id	speaker	turn	id_target	id_ko	id_roman	id_note	ms_target	ms_ko	ms_roman	ms_note
l6_d50_t10	6	대화50	B	10	Kamu pinter banget surprise.	깜짝 잘해.	까무 삔뜨르 방엣 서프라이즈.		Awak pandai gila surprise.	깜짝 잘해.	아왁 빤다이 길라 서프라이즈.	pandai = 영리 (말레이, pinter는 인니)
l6_d50_t11	6	대화50	A	11	Aku belajar dari kamu.	너에게 배움.	아꾸 블라자르 다리 까무.		Saya belajar dari awak.	너에게 배움.	사야 블라자르 다리 아왁.	
l6_d50_t12	6	대화50	B	12	Setelah cocktail, midnight stroll.	칵테일 후 자정 산책.	스뜰라 칵테일, 미드나이트 스트롤.		Selepas cocktail, midnight stroll.	자정 산책.	슬르빠스 칵테일, 미드나이트 스트롤.	
l6_d50_t13	6	대화50	A	13	Always with you.	늘 너와.	올웨이즈 위드 유.		Always with you.	늘 너와.	올웨이즈 위드 유.	
l6_d51_t01	6	대화51	B	1	Aku baru pulang gym, basah keringat.	헬스 후 땀 젖음.	아꾸 바루 뿔랑 짐, 바사 끄링앗.	keringat = 땀	Saya baru balik gym, basah peluh.	헬스 후 땀.	사야 바루 발릭 짐, 바사 쁠루.	peluh = 땀 (말레이, keringat은 인니)
l6_d51_t02	6	대화51	A	2	Wah, aku iri ke shower kamu.	와, 네 샤워 부럽.	와, 아꾸 이리 끄 샤워 까무.	shower = 영어	Wah, saya cemburu dengan shower awak.	와, 부럽.	와, 사야 쯤부루 등안 샤워 아왁.	shower = 영어
l6_d51_t03	6	대화51	B	3	Mau gabung shower?	같이 샤워?	마우 가붕 샤워?		Nak join shower?	같이 샤워?	낙 조인 샤워?	
l6_d51_t04	6	대화51	A	4	Aku otw dalam 10 menit.	10분 후 도착.	아꾸 오떼붸 달람 스뿔루 므닛.	otw = on the way 줄임	Saya otw dalam 10 minit.	10분.	사야 오떼붸 달람 스뿔루 미닛.	otw = on the way
l6_d51_t05	6	대화51	B	5	Aku tunggu dengan towel kecil.	작은 수건만.	아꾸 뚱구 등안 따월 끄찔.	towel = 영어	Saya tunggu dengan tuala kecil.	작은 수건.	사야 뚱구 등안 뚜알라 끄찔.	tuala = 수건 (말레이, towel은 영어)
l6_d51_t06	6	대화51	A	6	Aku ngebut di jalan.	도로 빨라.	아꾸 응으붓 디 잘란.	ngebut = 빨리 달리다 (구어)	Saya pecut di jalan.	빨라.	사야 쁘쭛 디 잘란.	pecut = 빨리 달리다 (말레이, ngebut은 인니 구어)
l6_d51_t07	6	대화51	B	7	Hati-hati, aku nggak mau ke RS.	조심, 병원 X.	하띠 하띠, 아꾸 응각 마우 끄 에르에스.	RS = rumah sakit 병원	Hati-hati, saya tak nak ke hospital.	병원 X.	하띠 하띠, 사야 딱 낙 끄 호스피딸.	hospital = 병원 (말레이/영어, RS = rumah sakit는 인니)
l6_d51_t08	6	대화51	A	8	Tenang, aku safe.	안전.	뜨낭, 아꾸 세이프.	safe = 영어	Tenang, saya safe.	안전.	뜨낭, 사야 세이프.	safe = 영어
l6_d51_t09	6	대화51	B	9	Sambil masak dinner siapa?	디너 누가 요리?	삼빌 마삭 디너 시아빠?		Sambil masak dinner siapa?	디너 누가?	삼빌 마삭 디너 시아빠?	
l6_d51_t10	6	대화51	A	10	Order GoFood, biar fokus kita.	GoFood, 우리만.	오르더 고푸드, 비아르 포꾸스 끼따.		Order foodpanda, supaya fokus kita.	foodpanda.	오르더 푸드판다, 수빠야 포꾸스 끼따.	foodpanda = 말레이 배달앱 (GoFood는 인니)
l6_d51_t11	6	대화51	B	11	Mantap. Jangan lama.	좋다. 빨리.	만땁. 장안 라마.		Best. Jangan lama.	빨리.	베스. 장안 라마.	
l6_d51_t12	6	대화51	A	12	Aku miss kamu sekarang.	지금 그리워.	아꾸 미스 까무 스까랑.	miss = 영어	Saya rindu awak sekarang.	그리워.	사야 린두 아왁 스까랑.	
l6_d51_t13	6	대화51	B	13	Aku siap kamu.	준비 됨.	아꾸 시압 까무.		Saya sedia awak.	준비 됨.	사야 스디아 아왁.	
l6_d52_t01	6	대화52	A	1	Sampai villa Ubud kita.	우리 Ubud 빌라.	삼빠이 빌라 우붓 끼따.		Sampai villa Langkawi kita.	Langkawi 빌라.	삼빠이 빌라 랑까위 끼따.	
l6_d52_t02	6	대화52	B	2	Wow, private pool!	와, 프라이빗 풀!	와우, 프라이벗 뿔!		Wow, private pool!	프라이빗 풀!	와우, 프라이벗 뿔!	
l6_d52_t03	6	대화52	A	3	Bukti view sawah dari pool.	풀에서 논 뷰.	북띠 뷰 사와 다리 뿔.	bukti = 진짜	Betul view laut dari pool.	풀에서 바다 뷰.	브뚤 뷰 라웃 다리 뿔.	betul = 진짜 (말레이), laut = 바다 (sawah는 인니 논)
l6_d52_t04	6	대화52	B	4	Aku langsung mau renang.	바로 수영.	아꾸 랑숭 마우 르낭.		Saya terus nak berenang.	바로 수영.	사야 뜨루스 낙 브르낭.	berenang = 수영 (말레이)
l6_d52_t05	6	대화52	A	5	Pakai bikini biru itu.	파란 비키니.	빠까이 비키니 비루 이뚜.	bikini = 영어	Pakai bikini biru itu.	파란 비키니.	빠까이 비키니 비루 이뚜.	bikini = 영어
l6_d52_t06	6	대화52	B	6	Aku bawa juga lingerie.	란제리도.	아꾸 바와 주가 린저리.	lingerie = 영어	Saya bawa juga lingerie.	란제리.	사야 바와 주가 린저리.	lingerie = 영어
l6_d52_t07	6	대화52	A	7	Wah, aku nggak sabar malam.	밤 못 기다려.	와, 아꾸 응각 사바르 말람.		Wah, saya tak sabar malam.	밤 못 기다려.	와, 사야 딱 사바르 말람.	
l6_d52_t08	6	대화52	B	8	Hahaha, makan dulu lah.	하하, 식사 먼저.	하하하, 마깐 둘루 라.		Hahaha, makan dulu lah.	식사 먼저.	하하하, 마깐 둘루 라.	
l6_d52_t09	6	대화52	A	9	Iya, aku reservasi private dinner.	프라이빗 디너 예약.	이야, 아꾸 레세르바시 프라이벗 디너.		Ya, saya tempah private dinner.	프라이빗 디너.	야, 사야 뜸빠 프라이벗 디너.	
l6_d52_t10	6	대화52	B	10	Di villa, candle light.	빌라, 캔들.	디 빌라, 캔들 라이트.	candle = 영어	Di villa, candle light.	캔들.	디 빌라, 캔들 라이트.	
l6_d52_t11	6	대화52	A	11	Plus champagne dingin.	+ 차가운 샴페인.	플러스 샴페인 딩인.	champagne = 영어	Plus champagne sejuk.	+ 차가운 샴페인.	플러스 샴페인 스죽.	
l6_d52_t12	6	대화52	B	12	Sempurna, oppa.	완벽, 오빠.	슴뿌르나, 오빠.		Sempurna, oppa.	완벽, 오빠.	슴뿌르나, 오빠.	
l6_d52_t13	6	대화52	A	13	Untuk kita berdua.	우리 둘만.	운뚝 끼따 브르두아.		Untuk kita berdua.	우리 둘만.	운뚝 끼따 브르두아.	
l2_d13_t01	2	대화13	A	1	Listrik bulan ini gede banget.	이번 달 전기세 커.	리스트릭 불란 이니 그데 방엣.	listrik = 전기, gede = besar 구어	Elektrik bulan ni besar gila.	전기세.	엘렉트릭 불란 니 브사르 길라.	elektrik = 전기 (말레이 철자, listrik은 인니)
l2_d13_t02	2	대화13	B	2	Berapa?	얼마?	브라빠?		Berapa?	얼마?	브라빠?	
l2_d13_t03	2	대화13	A	3	1.5 juta. AC kamu lama nyala kayaknya.	150만. 네 AC 오래 켜진 듯.	사뚜 꼬마 리마 주따. 아쩨 까무 라마 냘라 까야꺄.	nyala = 켜진	RM 700. AC awak lama hidup nampaknya.	RM 700. 네 AC.	알엠 뚜주 라뚜스. 아쩨 아왁 라마 히둡 남빡냐.	hidup = 켜진 (말레이), nampaknya = ~듯
l2_d13_t04	2	대화13	B	4	Maaf, kamar aku panas.	미안, 방 더워.	마앞, 까마르 아꾸 빠나스.		Maaf, bilik saya panas.	방 더워.	마앞, 빌릭 사야 빠나스.	
