rank,word,pos,gender,ko,freq,cum_pct,region,cefr
1,في,,,"~안에, ~에",,,Top500,
2,من,,,"~부터, ~에서, 누구",,,Top500,
3,على,,,"~위에, ~에 대해",,,Top500,
4,أن,,,"~라는 것, ~하기를",,,Top500,
5,لا,,,"아니요, 안",,,Top500,
6,إلى,,,"~로, ~까지",,,Top500,
7,و,,,그리고,,,Top500,
8,ما,,,"무엇, ~하지 않다",,,Top500,
9,عن,,,"~에 대해, ~로부터",,,Top500,
10,هذا,,,"이것, 이",,,Top500,
11,مع,,,~와 함께,,,Top500,
12,التي,,,~하는,,,Top500,
13,كل,,,"모든, 각",,,Top500,
14,هذه,,,"이것, 이",,,Top500,
15,أو,,,또는,,,Top500,
16,هو,,,"그, 그것",,,Top500,
17,كان,,,"이다, 있다",,,Top500,
18,الذي,,,~하는,,,Top500,
19,ذلك,,,"그것, 저것",,,Top500,
20,بعد,,,"~후에, 아직",,,Top500,
21,الله,,,"알라, 하나님",,,Top500,
22,لم,,,~하지 않았다,,,Top500,
23,بين,,,~사이에,,,Top500,
24,ان,,,~라는 것,,,Top500,
25,كانت,,,그녀였다,,,Top500,
26,يا,,,"야, 이봐",,,Top500,
27,حتى,,,"~까지, 심지어",,,Top500,
28,قبل,,,~전에,,,Top500,
29,قد,,,"이미, 아마",,,Top500,
30,هي,,,"그녀, 그것",,,Top500,
31,إن,,,"정말, ~라는 것",,,Top500,
32,كما,,,"~처럼, ~같이",,,Top500,
33,أي,,,"어떤, 어느",,,Top500,
34,أيضا,,,또한,,,Top500,
35,حيث,,,"~하는 곳, ~때",,,Top500,
36,أنه,,,그가 ~라는 것,,,Top500,
37,اليوم,,,오늘,,,Top500,
38,خلال,,,"~동안, ~통해",,,Top500,
39,عليه,,,"그에게, 그는 ~해야",,,Top500,
40,غير,,,"~이 아닌, 다른",,,Top500,
41,وهو,,,그리고 그는,,,Top500,
42,بعض,,,"일부, 몇몇",,,Top500,
43,تم,,,완료되다,,,Top500,
44,علي,,,"나에게, 나는 ~해야",,,Top500,
45,إذا,,,만약,,,Top500,
46,فى,,,"~안에, ~에",,,Top500,
47,له,,,그에게,,,Top500,
48,مثل,,,"~처럼, 같은",,,Top500,
49,محمد,,,무함마드(이름),,,Top500,
50,هناك,,,"거기, ~가 있다",,,Top500,
51,يوم,,,"날, 하루",,,Top500,
52,لك,,,너에게,,,Top500,
53,أكثر,,,"더, 더 많이",,,Top500,
54,عام,,,"해, 년, 일반적인",,,Top500,
55,لي,,,나에게,,,Top500,
56,ولا,,,그리고 ~도 아니다,,,Top500,
57,ثم,,,그다음,,,Top500,
58,بن,,,"벤 (인명), 아들",,,Top500,
59,يمكن,,,~할 수 있다,,,Top500,
60,الناس,,,사람들,,,Top500,
61,به,,,"그것으로, 그로",,,Top500,
62,ولكن,,,그러나,,,Top500,
63,أنت,,,"너, 당신",,,Top500,
64,الى,,,"~로, ~까지",,,Top500,
65,شيء,,,"것, 무언가",,,Top500,
66,لكن,,,하지만,,,Top500,
67,وفي,,,그리고 ~안에,,,Top500,
68,قال,,,말했다,,,Top500,
69,ومن,,,그리고 ~로부터,,,Top500,
70,فيه,,,그 안에,,,Top500,
71,فيها,,,그 안에 여성,,,Top500,
72,منذ,,,~이래로,,,Top500,
73,إلا,,,"~외에, ~을 제외하고",,,Top500,
74,الذين,,,~하는 사람들,,,Top500,
75,العالم,,,세계,,,Top500,
76,يكون,,,"있다, 되다",,,Top500,
77,أحد,,,"누군가, 하나",,,Top500,
78,عندما,,,~할 때,,,Top500,
79,فقط,,,"단지, 오직",,,Top500,
80,وقد,,,그리고 이미,,,Top500,
81,الآن,,,지금,,,Top500,
82,بها,,,"그것으로, 그녀로",,,Top500,
83,لو,,,만약,,,Top500,
84,عدد,,,"수, 숫자",,,Top500,
85,بشكل,,,~식으로,,,Top500,
86,أخرى,,,다른 여성,,,Top500,
87,تلك,,,"저것, 그",,,Top500,
88,هنا,,,여기,,,Top500,
89,ليس,,,~이 아니다,,,Top500,
90,هل,,,~입니까,,,Top500,
91,عند,,,"~에, ~때",,,Top500,
92,كنت,,,"나였다, 너였다",,,Top500,
93,العام,,,"해, 년, 일반적인",,,Top500,
94,انا,,,나,,,Top500,
95,لها,,,그녀에게,,,Top500,
96,أنا,,,나,,,Top500,
97,بأن,,,~라는 것으로,,,Top500,
98,تكون,,,"있다, 되다",,,Top500,
99,كيف,,,어떻게,,,Top500,
100,عبد,,,"압드 (종/신하, 이름 요소)",,,Top500,
101,المتحدة,,,"연합한, 합중국의",,,Top500,
102,تحت,,,~아래,,,Top500,
103,حول,,,"~에 대해, 주위에",,,Top500,
104,وهي,,,그리고 그녀는,,,Top500,
105,العربية,,,"아랍어, 아랍의 (여성형)",,,Top500,
106,السعودية,,,사우디아라비아,,,Top500,
107,العمل,,,"일, 작업",,,Top500,
108,ب,,,"~로, ~에 (전치사)",,,Top500,
109,3,,,3 (숫자),,,Top500,
110,آخر,,,"다른, 마지막",,,Top500,
111,الوقت,,,시간,,,Top500,
112,جدا,,,매우,,,Top500,
113,جميع,,,"모든, 전부",,,Top500,
114,1,,,1 (숫자),,,Top500,
115,أجل,,,"그래, 네",,,Top500,
116,الأول,,,"첫 번째, 최초",,,Top500,
117,فإن,,,"그러면, 만약",,,Top500,
118,أنها,,,그녀가 ~라는 것,,,Top500,
119,الحياة,,,"삶, 인생",,,Top500,
120,بما,,,"~로써, ~때문에",,,Top500,
121,واحد,,,하나,,,Top500,
122,يتم,,,"이루어지다, 완료되다",,,Top500,
123,بسبب,,,~때문에,,,Top500,
124,دون,,,~없이,,,Top500,
125,لن,,,~하지 않을 것이다,,,Top500,
