rank	word	korean	tier
36	ha	했다	Top1-500
59	entre	~사이에	Top1-500
60	puede	할 수 있다	Top1-500
71	donde	어디, ~곳	Top1-500
72	parte	부분	Top1-500
83	e	그리고	Top1-500
84	ese	그	Top1-500
85	han	했다	Top1-500
89	cada	각각, 매	Top1-500
93	1	1 (숫자)	Top1-500
94	esa	그	Top1-500
97	mundo	세계, 세상	Top1-500
101	les	그들에게	Top1-500
102	mas	그러나, 더	Top1-500
103	otro	다른	Top1-500
104	otros	다른	Top1-500
107	cosas	것들	Top1-500
108	gran	큰, 위대한	Top1-500
111	personas	사람들	Top1-500
116	sea	~이든	Top1-500
118	tener	가지다	Top1-500
120	durante	~동안	Top1-500
121	ellos	그들	Top1-500
127	sólo	단지, 오직	Top1-500
128	aunque	비록 ~일지라도	Top1-500
129	contra	~에 반대하여	Top1-500
131	decir	말하다	Top1-500
132	gobierno	정부	Top1-500
133	país	나라, 국가	Top1-500
137	estos	이	Top1-500
138	forma	형태, 방식	Top1-500
139	he	했다	Top1-500
141	sido	~였던	Top1-500
145	estas	이	Top1-500
148	estar	있다, ~이다	Top1-500
150	tienen	가지다	Top1-500
153	quien	~하는 사람	Top1-500
154	toda	모든	Top1-500
157	caso	경우, 사건	Top1-500
165	nacional	국가의, 국립의	Top1-500
168	poder	할 수 있다, 힘	Top1-500
169	pueden	할 수 있다	Top1-500
172	historia	역사, 이야기	Top1-500
173	mientras	~하는 동안	Top1-500
176	otras	다른	Top1-500
179	4	4 (숫자)	Top1-500
181	muchos	많은	Top1-500
182	cual	어느, 어떤	Top1-500
183	debe	해야 하다	Top1-500
188	algunos	몇몇, 어떤	Top1-500
189	general	장군, 일반적인	Top1-500
190	mayor	더 큰, 연장자	Top1-500
192	además	게다가, 또한	Top1-500
195	primer	첫 번째	Top1-500
196	según	~에 따르면	Top1-500
198	cualquier	어떤, 아무	Top1-500
199	dios	신, 하나님	Top1-500
200	fueron	갔다, 였다	Top1-500
201	manera	방법, 방식	Top1-500
204	ley	법, 법률	Top1-500
206	partido	경기, 정당	Top1-500
207	bajo	아래, 낮은	Top1-500
208	fuera	밖에	Top1-500
209	hacia	~쪽으로	Top1-500
210	sino	오히려, 운명	Top1-500
